0
"(datetime.datetime(2023, 1, 8, 18, 39, 43), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 57, OLD VALUE = 56')"
"(datetime.datetime(2023, 1, 8, 18, 42), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 58, OLD VALUE = 57')"
"(datetime.datetime(2023, 1, 8, 18, 42, 1), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 59, OLD VALUE = 58')"
"(datetime.datetime(2023, 1, 8, 18, 42, 19), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 60, OLD VALUE = 59')"
"(datetime.datetime(2023, 1, 8, 18, 42, 20), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 60, OLD VALUE = 60')"
"(datetime.datetime(2023, 1, 8, 18, 42, 20), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 61, OLD VALUE = 60')"
"(datetime.datetime(2023, 1, 8, 18, 42, 20), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 61, OLD VALUE = 61')"
"(datetime.datetime(2023, 1, 8, 18, 42, 21), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 62, OLD VALUE = 61')"
"(datetime.datetime(2023, 1, 8, 18, 42, 22), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 62, OLD VALUE = 62')"
"(datetime.datetime(2023, 1, 8, 18, 42, 22), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 63, OLD VALUE = 62')"
"(datetime.datetime(2023, 1, 8, 18, 42, 31), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 64, OLD VALUE = 63')"
"(datetime.datetime(2023, 1, 8, 18, 42, 33), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/OUT.CV', 'OPERADOR', 'NEW VALUE = 65, OLD VALUE = 64')"
"(datetime.datetime(2023, 1, 8, 18, 42, 36), '341_DIGESTION', 'DIGESTORA_12', '341PIC1206', 'PID1/MODE.TARGET', 'OPERADOR', 'NEW VALUE = ROUT, OLD VALUE = MAN')"
